,Weekday,Date,Home team,,Visiting team,,Questions,A,B,C,Answer,
,Fri,"Jun 11, 2021",Turkey,VS,Italy,Q1,Who will win the game between Turkey VS Italy?,Turkey,Italy,Draw,B,
,,,,,,Q2,How many goals will be in the match Turkey vs Italy?,0 or 1,2 or 3,more than 3,B,
,Sat,"Jun 12, 2021",Wales,VS,Switzerland,Q1,Who will win the game between Wales VS Switzerland?,Wales,Switzerland,Draw,C,
,,,Denmark,VS,Finland,Q2,Who will win the game between Denmark VS Finland?,Denmark,Finland,Draw,B,
,,,Belgium,VS,Russia,Q3,Who will win the game between Belgium VS Russia?,Belgium,Russia,Draw,A,
,,,,,,Q4,Will there be 15 or more corner kick in the match Wales VS Switzerland?,Yes,No,,A,
,Sun,"Jun 13, 2021",England,VS,Croatia,Q1,Who will win the game between England VS Croatia?,England,Croatia,Draw,A,
,,,Austria,VS,North Macedonia,Q2,Who will win the game between Austria VS North Macedonia?,Austria,North Macedonia,Draw,A,
,,,Netherlands,VS,Ukraine,Q3,Who will win the game between Netherlands VS Ukraine?,Netherlands,Ukraine,Draw,A,
,,,,,,Q4,Will there be own goal in the match England VS Croatia?,Yes,No,,B,
,Mon,"Jun 14, 2021",Scotland,VS,Czech Republic,Q1,Who will win the game between Scotland VS Czech Republic?,Scotland,Czech Republic,Draw,B,
,,,Poland,VS,Slovakia,Q2,Who will win the game between Poland VS Slovakia?,Poland,Slovakia,Draw,B,
,,,Spain,VS,Sweden,Q3,Who will win the game between Spain VS Sweden?,Spain,Sweden,Draw,C,
,,,,,,Q4,Will there be 5 or more yellow cards in match Spain VS Sweden?,Yes,No,,B,
,Tue,"Jun 15, 2021",Hungary,VS,Portugal,Q1,Who will win the game between Hungary VS Portugal?,Hungary,Portugal,Draw,B,
,,,France,VS,Germany,Q2,Who will win the game between France VS Germany?,France,Germany,Draw,A,
,,,,,,Q3,Will there be penalty kick in the match France VS Germany?,Yes,No,,B,
,,,,,,Q4,Will Cristiano Ronaldo goal in the match Hungary VS Portugal?,Yes,No,,A,
,Wed,"Jun 16, 2021",Finland,VS,Russia,Q1,Who will win the game between Finland VS Russia?,Finland,Russia,Draw,B,
,,,Turkey,VS,Wales,Q2,Who will win the game between Turkey VS Wales?,Turkey,Wales,Draw,B,
,,,Italy,VS,Switzerland,Q3,Who will win the game between Italy VS Switzerland?,Italy,Switzerland,Draw,A,
,,,,,,Q4,Will there be 10 or more corner kick in the match Italy VS Switzerland?,Yes,No,,B,
,Thu,"Jun 17, 2021",Ukraine,VS,North Macedonia,Q1,Who will win the game between Ukraine VS North Macedonia?,Ukraine,North Macedonia,Draw,A,
,,,Denmark,VS,Belgium,Q2,Who will win the game between Denmark VS Belgium?,Denmark,Belgium,Draw,B,
,,,Netherlands,VS,Austria,Q3,Who will win the game between Netherlands VS Austria?,Netherlands,Austria,Draw,A,
,,,,,,Q4,How many goals will be in the match Netherlands VS Austria?,0 or 1,2 or 3,more than 3,B,
,Fri,"Jun 18, 2021",Sweden,VS,Slovakia,Q1,Who will win the game between Sweden VS Slovakia?,Sweden,Slovakia,Draw,A,
,,,Croatia,VS,Czech Republic,Q2,Who will win the game between Croatia VS Czech Republic?,Croatia,Czech Republic,Draw,C,
,,,England,VS,Scotland,Q3,Who will win the game between England VS Scotland?,England,Scotland,Draw,C,
,,,,,,Q4,Will there be 5 or more yellow cards in match England VS Scotland?,Yes,No,,B,
,Sat,"Jun 19, 2021",Hungary,VS,France,Q1,what will be the final result in Hungary VS France?,Hungary,France,Draw,C,
,,,Portugal,VS,Germany,Q2,what will be the final result in Portugal VS Germany?,Portugal,Germany,Draw,B,
,,,Spain,VS,Poland,Q3,what will be the final result in Spain VS Poland?,Spain,Poland,Draw,C,
,,,,,,Q4,Will there be penalty kick in the match Portugal VS Germany?,Yes,No,,B,
,Sun,"Jun 20, 2021",Italy,VS,Wales,Q1,Who will win the game between Italy VS Wales?,Italy,Wales,Draw,A,
,,,Switzerland,VS,Turkey,Q2,Who will win the game between Switzerland VS Turkey?,Switzerland,Turkey,Draw,A,
,,,,,,Q3,How many goals will be in the match Switzerland VS Turkey?,0 or 1,2 or 3,more than 3,C,
,,,,,,Q4,Will there be own goal in the match Italy VS Wales?,Yes,No,,B,
,Mon,"Jun 21, 2021",Ukraine,VS,Austria,Q1,Who will win the game between Ukraine VS Austria?,Ukraine,Austria,Draw,B,
,,,North Macedonia,VS,Netherlands,Q2,Who will win the game between North Macedonia VS Netherlands?,North Macedonia,Netherlands,Draw,B,
,,,Finland,VS,Belgium,Q3,Who will win the game between Finland VS Belgium?,Finland,Belgium,Draw,B,
,,,Russia,VS,Denmark,Q4,Who will win the game between Russia VS Denmark?,Russia,Denmark,Draw,B,
,Tue,"Jun 22, 2021",Czech Republic,VS,England,Q1,Who will win the game between Czech Republic VS England?,Czech Republic,England,Draw,B,
,,,Croatia,VS,Scotland,Q2,Who will win the game between Croatia VS Scotland?,Croatia,Scotland,Draw,A,
,,,,,,Q3,Will there be 10 or more corner kick in the match Croatia VS Scotland?,Yes,No,,A,
,,,,,,Q4,How many goals will be in the match Czech Republic VS England?,0 or 1,2 or 3,more than 3,A,
,Wed,"Jun 23, 2021",Sweden,VS,Poland,Q1,Who will win the game between Sweden VS Poland?,Sweden,Poland,Draw,A,
,,,Slovakia,VS,Spain,Q2,Who will win the game between Slovakia VS Spain?,Slovakia,Spain,Draw,B,
,,,Germany,VS,Hungary,Q3,Who will win the game between Germany VS Hungary?,Germany,Hungary,Draw,C,
,,,Portugal,VS,France,Q4,Who will win the game between Portugal VS France?,Portugal,France,Draw,C,